name,price,chipset,memory,core_clock,boost_clock,color,length
MSI GeForce RTX 3060 Ventus 2X 12G,289.39,GeForce RTX 3060 12GB,12,1320,1777,Black,235
Gigabyte WINDFORCE OC,529.99,GeForce RTX 4070,12,1920,2490,Black,261
Asus DUAL OC,304.99,GeForce RTX 4060,8,1830,2535,Black,227
Asus ROG STRIX GAMING OC,2049.99,GeForce RTX 4090,24,2235,2640,Black,358
Gigabyte GAMING OC,499.99,Radeon RX 7800 XT,16,1295,2565,Black,302
PNY VCNRTX6000ADA-PB,9999,RTX 6000 Ada Generation,48,915,2505,Black / Gold,267
ASRock Challenger D,199.99,Radeon RX 6600,8,1626,,Black,269
Gigabyte EAGLE,399.99,GeForce RTX 4060 Ti,8,2310,,Black,272
Gigabyte WINDFORCE OC,875.99,GeForce RTX 4070 Ti SUPER,16,2340,2625,Black,261
MSI VENTUS 2X BLACK OC,285,GeForce RTX 4060,8,1830,2505,Black,199
Gigabyte WINDFORCE OC,599.99,GeForce RTX 4070 SUPER,12,1980,2505,Black,261
Asus DUAL,599.99,GeForce RTX 4070 SUPER,12,1980,2505,Black,267
NVIDIA Founders Edition,,GeForce RTX 4090,24,2230,2520,Black / Silver,304
XFX GTR XXX,139.99,Radeon RX 580,8,1366,1386,Black / Red,270
Gigabyte AERO OC,324.99,GeForce RTX 4060,8,1830,,White,281
Sapphire PULSE,489.99,Radeon RX 7800 XT,16,1295,,Black / Red,280
XFX Speedster SWFT 309,329.99,Radeon RX 6700 XT,12,2321,2581,Black,304
Asus DUAL OC,539.99,GeForce RTX 4070,12,2520,2550,White,267
XFX Speedster MERC 310 Black Edition,929.99,Radeon RX 7900 XTX,24,2300,2615,Black / Silver,344
MSI RTX 3060 Ventus 3X 12G OC,297,GeForce RTX 3060 12GB,12,1320,1807,Black,316
Asus TUF GAMING,,GeForce RTX 4070 Ti SUPER,16,2340,2640,Black,305
Asus ROG STRIX GAMING OC,2299,GeForce RTX 4090,24,2235,2640,White,358
Asus TUF GAMING OC,910.52,GeForce RTX 4070 Ti,12,2310,2760,Black,305
PowerColor Fighter,189.99,Radeon RX 6600,8,1626,2491,Black,200
Asus ROG Matrix Platinum,4394.99,GeForce RTX 4090,24,2670,2700,Black / Silver,286
Gigabyte WINDFORCE OC,299.99,GeForce RTX 4060,8,1830,,Black,192
Gigabyte GAMING OC,1999.95,GeForce RTX 4090,24,2235,,Black,340
Asus TUF GAMING,1499,GeForce RTX 4080 SUPER,16,2210,2580,Black,348
Asus DUAL OC,529.99,GeForce RTX 4070,12,2520,2550,Black,267
ASRock Radeon RX6700XT CLD 12G,,Radeon RX 6700 XT,12,2321,2581,Black,269
XFX Speedster MERC 310 Black Edition,729.99,Radeon RX 7900 XT,20,2000,2560,Black / Silver,344
Asus DUAL OC,599.99,GeForce RTX 4070 SUPER,12,1980,2550,Black,267
Sapphire PURE,519.99,Radeon RX 7800 XT,16,1295,2475,White,320
Sapphire PULSE,749.99,Radeon RX 7900 XT,20,2000,2450,Black / Red,313
Gigabyte EAGLE,199.99,Radeon RX 6600,8,1626,2491,Black / Silver,282
XFX Speedster SWFT 319,399.99,Radeon RX 6800,16,1700,2105,Black,340
NVIDIA Founders Edition,714.99,GeForce RTX 4070,12,1920,2480,Black / Silver,244
MSI VENTUS 2X BLACK OC,487,GeForce RTX 4060 Ti,16,2310,2625,Black,199
Asus Dual GeForce RTX 3060 V2 OC Edition,299.99,GeForce RTX 3060 12GB,12,1320,1867,Black,200
MSI VENTUS 3X OC,1185.99,GeForce RTX 4080,16,2205,,Black,322
Asus DUAL OC,284.99,GeForce RTX 3060 12GB,12,1320,1867,White,200
Sapphire NITRO+,1059.99,Radeon RX 7900 XTX,24,2300,2680,Silver / Black,320
Gigabyte WINDFORCE OC,779.99,GeForce RTX 4070 Ti,12,2310,2625,Black / Silver,261
Gigabyte GAMING OC,449.99,Radeon RX 7700 XT,12,1700,2599,Black,302
Asus TUF GAMING OC,1819.99,GeForce RTX 4090,24,2235,2595,Black,348
MSI VENTUS 2X XS OC,219.99,GeForce RTX 3050 8GB,8,1550,1807,Black / Gray,205
NVIDIA Founders Edition,589.99,GeForce RTX 3060 Ti,8,1410,1670,Black / Silver,242
Sapphire PULSE,269.99,Radeon RX 7600,8,1720,2755,Black / Red,240
Gigabyte GAMING OC Rev 2.0,424.99,GeForce RTX 3070 LHR,8,1500,1815,Black,286
XFX Speedster SWFT 210 Core,239.99,Radeon RX 6650 XT,8,2055,2635,Black / Silver,241
Gigabyte WINDFORCE V2,1314.99,GeForce RTX 4080 SUPER,16,2210,2550,Black,330
Gigabyte AERO OC,427.99,GeForce RTX 4060 Ti,8,2310,,White / Silver,281
NVIDIA Founders Edition,1499.99,GeForce RTX 4080,16,2210,2510,Black / Silver,304
PowerColor Fighter,,Radeon RX 6650 XT,8,2055,2635,Black,200
NVIDIA Founders Edition,,GeForce RTX 4080 SUPER,16,2210,2550,Black,304
XFX Speedster SWFT 210,209.99,Radeon RX 6600,8,1626,2491,Black,241
Sapphire PULSE,939.99,Radeon RX 7900 XTX,24,2300,2525,Black / Red,313
ASRock Challenger OC,499.99,Radeon RX 7800 XT,16,1295,2475,Black,267
Sapphire NITRO+,529.99,Radeon RX 7800 XT,16,1295,,Black,320
PowerColor Hellhound OC,499.99,Radeon RX 7800 XT,16,1295,2520,Black,322
MSI GAMING X SLIM,649.99,GeForce RTX 4070 SUPER,12,1980,2655,Black,307
MSI VENTUS 3X OC,1479.99,GeForce RTX 4080 SUPER,16,2210,2595,Black,322
Gigabyte AERO OC,679.99,GeForce RTX 4070 SUPER,12,1980,2565,White / Silver,300
Gigabyte EAGLE OC,304.99,GeForce RTX 4060,8,1830,,Black,272
Zotac GAMING Trinity,799.99,GeForce RTX 4070 Ti SUPER,16,2340,2610,Black,307
Asus DUAL OC,384.99,GeForce RTX 4060 Ti,8,2310,2595,Black,227
Gigabyte GAMING OC,269.99,Radeon RX 7600,8,1720,2755,Black / Silver,282
ASRock Phantom Gaming D OC,369.93,Radeon RX 6600 XT,8,1968,,Black,305
NVIDIA Founders Edition,,GeForce RTX 4070 SUPER,12,1980,2480,Black / Silver,244
XFX Speedster SWFT 210,329.99,Radeon RX 7600 XT,16,1720,2755,Black,272
Gigabyte GAMING OC,329.99,Radeon RX 7600 XT,16,1720,,Black / Gray,281
MSI GAMING X SLIM,,GeForce RTX 4080 SUPER,16,2210,2625,Black,322
ASRock Radeon RX6700XT PGD 12GO,,Radeon RX 6700 XT,12,2457,2622,Silver / Black,305
Intel Limited Edition,239.99,Arc A750,8,2050,,Black,250
